EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS,DB_CPU_TIME,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED
RestApi,20210518093809.924,SLB:e57ceca9e9f05d592690e5633c1b583b,00D300000000FHi,0053400000ABl1I,39,16,/services/data/v20.0/query/,KslinLufzL3c7sYt,/AQo/2IhIqYQ3xyM,S,26613023,GET,application/json;charset=UTF-8,200,9999,1,2,719,10,0,228,StaticResource,2021-05-18T09:38:09.924Z,0053400000ABl1IAAT,52.8.134.43,""
RestApi,20210518093857.641,SLB:a414bbff765582253f1c5cb20d8d9a10,00D300000000FHi,0053400000ABl1I,33,15,/services/data/v20.0/query/,KslinLufzL3c7sYt,GxjrK5U3YlDfdvlW,S,18637922,GET,application/json;charset=UTF-8,200,9999,1,2,733,0,0,234,StaticResource,2021-05-18T09:38:57.641Z,0053400000ABl1IAAT,52.8.134.43,""
RestApi,20210518094926.400,SLB:3381556dac272ba6e7f8ec4638822254,00D300000000FHi,0053400000ABl1I,29,16,/services/data/v20.0/query/,KslinLufzL3c7sYt,MZocX8jKzDMm8+IY,S,14849185,GET,application/json;charset=UTF-8,200,9999,1,2,717,0,0,228,StaticResource,2021-05-18T09:49:26.400Z,0053400000ABl1IAAT,52.8.134.43,""
RestApi,20210518144437.473,SLB:886d861197622390c02f2c0f76772170,00D300000000FHi,0053400000ABl1I,34,19,/services/data/v20.0/query/,eFuTKCYiRZ7fVNYg,cK4RDZ/PxM0POKTG,S,19435058,GET,application/json;charset=UTF-8,200,9999,1,2,731,0,0,234,StaticResource,2021-05-18T14:44:37.473Z,0053400000ABl1IAAT,52.8.244.154,""
RestApi,20210518225001.910,SLB:befabcb0d851c707ad7b0fcce0b8af04,00D300000000FHi,00530000000h4Rg,473,219,/services/data/v20.0/sobjects/task/00T3n00006yBg58EAC,Tw7+Y+3csxIS6SJF,PwL6bi7fYYPsp7Yk,S,170036002,DELETE,"",204,9999,0,"",3829,120,0,0,Task,2021-05-18T22:50:01.910Z,00530000000h4RgAAI,3.217.13.88,00T3n00006yBg58EAC
RestApi,20210518225002.819,SLB:228c6297a0562ac4f5cdf46217acc072,00D300000000FHi,00530000000h4Rg,376,201,/services/data/v20.0/sobjects/task/00T3n00006yBg5DEAS,Tw7+Y+3csxIS6SJF,PwL6bi7fYYPsp7Yk,S,111545724,DELETE,"",204,9999,0,"",3851,80,0,0,Task,2021-05-18T22:50:02.819Z,00530000000h4RgAAI,3.217.13.88,00T3n00006yBg5DEAS
RestApi,20210518225004.055,SLB:745001c2bdaa7636e4a0b2e39a15dcfa,00D300000000FHi,00530000000h4Rg,497,252,/services/data/v20.0/sobjects/task/00T3n00006yBg5IEAS,Tw7+Y+3csxIS6SJF,PwL6bi7fYYPsp7Yk,S,135382131,DELETE,"",204,9999,0,"",3867,110,0,0,Task,2021-05-18T22:50:04.055Z,00530000000h4RgAAI,3.217.13.88,00T3n00006yBg5IEAS
RestApi,20210518225004.865,SLB:295763fc3913372258634c550cf2097d,00D300000000FHi,00530000000h4Rg,220,98,/services/data/v20.0/sobjects/task/00T3n00006yBg5NEAS,Tw7+Y+3csxIS6SJF,PwL6bi7fYYPsp7Yk,S,119530081,DELETE,"",204,9999,0,"",3911,80,0,0,Task,2021-05-18T22:50:04.865Z,00530000000h4RgAAI,3.217.13.88,00T3n00006yBg5NEAS
RestApi,20210518225011.501,SLB:abb9b5963dd9ee462a1bcdc70a46b5c8,00D300000000FHi,00530000000h4Rg,345,173,/services/data/v20.0/sobjects/task/00T3n00006yBg5SEAS,Tw7+Y+3csxIS6SJF,PwL6bi7fYYPsp7Yk,S,110082465,DELETE,"",204,9999,0,"",3831,60,0,0,Task,2021-05-18T22:50:11.501Z,00530000000h4RgAAI,3.217.13.88,00T3n00006yBg5SEAS
RestApi,20210518225012.071,SLB:7f07afe5016b9a19008562a2a7c5a840,00D300000000FHi,00530000000h4Rg,218,109,/services/data/v20.0/sobjects/task/00T3n00006yBg5XEAS,Tw7+Y+3csxIS6SJF,PwL6bi7fYYPsp7Yk,S,108182930,DELETE,"",204,9999,0,"",3811,100,0,0,Task,2021-05-18T22:50:12.071Z,00530000000h4RgAAI,3.217.13.88,00T3n00006yBg5XEAS
