EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,API_TYPE,API_VERSION,CLIENT_NAME,METHOD_NAME,ENTITY_NAME,ROWS_PROCESSED,REQUEST_SIZE,RESPONSE_SIZE,DB_BLOCKS,DB_CPU_TIME,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED
API,20210520080125.271,SLB:5ec26d6c8b2a2cabe70981065e8564bb,00D300000000FHi,0052T00000D9Hka,34,11,Api,b6gxAS0rI7svuVxH,pZZZqXSP6JiGHfjf,"",20317863,P,12.0,boxnet/files/,get_user_info,"","",714,1071,248,10,2021-05-20T08:01:25.271Z,0052T00000D9HkaQAF,107.152.24.148,""
API,20210520080125.554,SLB:ba99def4333cc0685a91a02321de3dda,00D300000000FHi,0052T00000D9Hka,27,15,Api,b6gxAS0rI7svuVxH,pZZZqXSP6JiGHfjf,"",12928957,P,12.0,boxnet/files/,retrieve,Profile,1,938,531,41,10,2021-05-20T08:01:25.554Z,0052T00000D9HkaQAF,107.152.25.183,""
API,20210520142957.068,SLB:b5e57d15d6928b836e14372317d0708b,00D300000000FHi,0052T00000CDVeQ,25,17,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",8603277,P,12.0,"","","","",714,676,6,0,2021-05-20T14:29:57.068Z,0052T00000CDVeQQAX,107.152.25.184,""
API,20210520142957.288,SLB:efb6cdda71011d88bc031e2b1dd64771,00D300000000FHi,0052T00000CDVeQ,14,9,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",7946295,P,12.0,"","","","",714,676,6,0,2021-05-20T14:29:57.288Z,0052T00000CDVeQQAX,107.152.25.169,""
API,20210520143630.637,SLB:eb223d9b8048957699d6cb827020b492,00D300000000FHi,0052T00000CDVeQ,22,15,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",10734696,P,12.0,"","","","",714,676,6,10,2021-05-20T14:36:30.637Z,0052T00000CDVeQQAX,107.152.25.153,""
API,20210520143630.913,SLB:a8207e55db6abffa86685499719ef8c8,00D300000000FHi,0052T00000CDVeQ,16,10,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",8405063,P,12.0,"","","","",714,676,6,0,2021-05-20T14:36:30.913Z,0052T00000CDVeQQAX,107.152.25.169,""
API,20210520143740.869,SLB:e4c49e5873746e82c4a72f3bab9f6f0f,00D300000000FHi,0052T00000CDVeQ,15,9,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",7336851,P,12.0,"","","","",714,676,3,0,2021-05-20T14:37:40.869Z,0052T00000CDVeQQAX,107.152.24.148,""
API,20210520143741.140,SLB:0ed647572dfc06f6ee49f94fb764ce13,00D300000000FHi,0052T00000CDVeQ,16,10,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",9576523,P,12.0,"","","","",714,676,6,0,2021-05-20T14:37:41.140Z,0052T00000CDVeQQAX,107.152.25.169,""
API,20210520144003.530,SLB:013102644f0ab0f8890cf3d52b7d1494,00D300000000FHi,0052T00000CDVeQ,27,11,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",10300989,P,12.0,"","","","",714,676,3,10,2021-05-20T14:40:03.530Z,0052T00000CDVeQQAX,107.152.25.153,""
API,20210520144003.752,SLB:bbd58d4a4808a3ab2835e4010a362ad6,00D300000000FHi,0052T00000CDVeQ,17,10,Api,9D5DdQc6cl74Mu9M,elK4tHP6Yc2f4EpC,"",9336611,P,12.0,"","","","",714,676,3,0,2021-05-20T14:40:03.752Z,0052T00000CDVeQQAX,107.152.25.186,""
